animal_type,has_name,age_days_outcome,age_group_intake,los_at_shelter,month_of_outcome,is_fixed,breed_type,color_group,intake_condition_group,agg_cluster
Dog,1,3660,Senior,6,November,0,Mix,Black,Healthy/Normal,0
Dog,1,170,Puppy/Kitten,17,November,0,Pure,Gold,Healthy/Normal,0
Cat,1,79,Puppy/Kitten,51,July,1,Mix,Brown,Healthy/Normal,0
Cat,1,61,Puppy/Kitten,14,September,0,Mix,Grey,Healthy/Normal,0
Dog,1,753,Young Adult,23,February,1,Mix,Black,Healthy/Normal,0
Cat,1,3661,Senior,8,October,1,Mix,Other,Healthy/Normal,0
Cat,1,735,Young Adult,3,December,1,Mix,White,Healthy/Normal,0
Cat,1,82,Puppy/Kitten,35,July,1,Mix,Black,Healthy/Normal,0
Dog,0,219,Puppy/Kitten,4,February,0,Mix,Black,Healthy/Normal,0
Dog,1,1836,Adult,9,June,1,Mix,White,Healthy/Normal,0
Dog,1,165,Puppy/Kitten,10,December,0,Mix,Black,Healthy/Normal,0
Cat,1,69,Puppy/Kitten,37,July,0,Mix,Other,Healthy/Normal,0
Cat,1,3751,Senior,8,December,1,Pure,Black,Healthy/Normal,0
Dog,1,768,Young Adult,18,August,1,Mix,White,Healthy/Normal,0
Dog,1,615,Young Adult,67,August,1,Mix,Brown,Healthy/Normal,0
Cat,1,157,Puppy/Kitten,3,February,1,Mix,White,Healthy/Normal,0
Dog,1,394,Young Adult,5,January,1,Mix,Gold,Healthy/Normal,0
Cat,0,74,Puppy/Kitten,6,June,1,Pure,Black,Healthy/Normal,0
Dog,1,4392,Senior,9,September,1,Pure,Black,Healthy/Normal,0
Cat,1,59,Puppy/Kitten,21,October,1,Pure,Black,Healthy/Normal,0
Other,0,384,Young Adult,18,November,0,Pure,Brown,Injured,0
Dog,1,2719,Adult,343,October,1,Mix,White,Healthy/Normal,0
Cat,1,14,Puppy/Kitten,4,March,0,Mix,Black,Life Stage/Developmental,0
Dog,1,66,Puppy/Kitten,5,June,1,Pure,White,Healthy/Normal,0
Dog,1,560,Young Adult,14,August,1,Mix,White,Healthy/Normal,0
Cat,1,117,Puppy/Kitten,6,December,1,Mix,Black,Healthy/Normal,0
Cat,0,61,Puppy/Kitten,15,June,1,Pure,Other,Healthy/Normal,0
Dog,1,767,Young Adult,37,January,1,Mix,White,Healthy/Normal,0
Dog,1,166,Puppy/Kitten,13,October,1,Mix,Black,Healthy/Normal,0
Cat,1,289,Puppy/Kitten,35,March,1,Pure,White,Healthy/Normal,0
Dog,0,128,Puppy/Kitten,22,August,1,Pure,Black,Injured,0
Dog,1,4922,Senior,4,August,1,Mix,White,Injured,0
Dog,1,1145,Adult,17,January,1,Pure,Black,Healthy/Normal,0
Dog,0,1831,Adult,3,December,1,Mix,White,Healthy/Normal,0
Dog,1,1683,Adult,99,May,1,Mix,White,Healthy/Normal,0
Cat,0,2559,Senior,1,October,1,Mix,White,Healthy/Normal,0
Cat,1,3692,Senior,47,May,1,Pure,White,Healthy/Normal,0
Dog,1,96,Puppy/Kitten,4,June,1,Mix,Black,Healthy/Normal,0
Cat,0,372,Young Adult,6,June,0,Pure,White,Healthy/Normal,0
Cat,1,121,Puppy/Kitten,82,December,1,Mix,Black,Healthy/Normal,0
Other,0,734,Young Adult,4,June,0,Pure,Brown,Injured,0
Cat,1,747,Young Adult,16,February,1,Mix,Red,Injured,0
Dog,1,373,Young Adult,8,January,1,Mix,Black,Healthy/Normal,0
Dog,1,69,Puppy/Kitten,65,November,1,Mix,White,Healthy/Normal,0
Dog,0,735,Young Adult,4,July,1,Pure,Black,Sick/Medical,0
Cat,1,95,Puppy/Kitten,58,August,1,Mix,Other,Injured,0
Dog,1,320,Puppy/Kitten,15,November,0,Pure,Black,Healthy/Normal,0
Cat,0,68,Puppy/Kitten,63,July,1,Mix,Black,Healthy/Normal,0
Dog,0,77,Puppy/Kitten,4,September,0,Mix,White,Healthy/Normal,0
Dog,1,744,Young Adult,14,December,1,Pure,Black,Healthy/Normal,0
Dog,1,128,Puppy/Kitten,5,February,1,Pure,Tricolor,Healthy/Normal,0
Cat,1,229,Puppy/Kitten,14,November,1,Pure,Grey,Healthy/Normal,0
Dog,1,123,Puppy/Kitten,1,January,0,Pure,White,Healthy/Normal,0
Dog,1,69,Puppy/Kitten,38,April,1,Mix,Black,Healthy/Normal,0
Dog,1,193,Puppy/Kitten,9,February,1,Pure,Tricolor,Healthy/Normal,0
Dog,1,257,Puppy/Kitten,13,July,0,Mix,White,Healthy/Normal,0
Cat,0,6,Puppy/Kitten,2,May,0,Mix,Grey,Healthy/Normal,0
Dog,1,386,Young Adult,21,October,1,Mix,Black,Healthy/Normal,0
Cat,1,72,Puppy/Kitten,41,October,1,Mix,Black,Healthy/Normal,0
Dog,1,3781,Senior,137,February,1,Pure,Tricolor,Life Stage/Developmental,0
Dog,0,548,Young Adult,1,March,0,Pure,White,Healthy/Normal,0
Dog,1,71,Puppy/Kitten,4,May,1,Mix,White,Healthy/Normal,0
Dog,1,3328,Senior,41,September,1,Mix,Tricolor,Healthy/Normal,0
Dog,0,3,Puppy/Kitten,1,October,0,Pure,Black,Injured,0
Dog,1,375,Young Adult,9,December,1,Pure,White,Healthy/Normal,0
Dog,1,2163,Adult,234,November,1,Pure,Black,Healthy/Normal,0
Dog,1,756,Young Adult,26,November,1,Pure,Tricolor,Healthy/Normal,0
Dog,1,548,Young Adult,1,October,1,Pure,Gold,Healthy/Normal,0
Dog,1,67,Puppy/Kitten,21,October,1,Pure,Black,Healthy/Normal,0
Dog,1,1896,Adult,69,October,0,Pure,Black,Healthy/Normal,0
Dog,1,741,Young Adult,11,June,1,Mix,Gold,Healthy/Normal,0
Cat,1,6579,Senior,4,January,1,Mix,Black,Healthy/Normal,0
Cat,1,1040,Young Adult,5,January,1,Mix,Other,Healthy/Normal,0
Cat,1,2575,Senior,19,January,1,Mix,Black,Healthy/Normal,0
Cat,0,113,Puppy/Kitten,97,July,1,Mix,White,Life Stage/Developmental,0
Cat,0,767,Young Adult,36,November,0,Pure,Black,Healthy/Normal,0
Cat,1,139,Puppy/Kitten,102,October,1,Mix,Grey,Healthy/Normal,0
Cat,1,97,Puppy/Kitten,75,December,1,Pure,Other,Healthy/Normal,0
Dog,1,370,Young Adult,5,September,1,Pure,Gold,Healthy/Normal,0
Dog,1,307,Puppy/Kitten,4,July,1,Mix,Tricolor,Healthy/Normal,0
Cat,0,96,Puppy/Kitten,3,January,0,Mix,White,Healthy/Normal,0
Dog,1,69,Puppy/Kitten,26,February,1,Mix,Black,Healthy/Normal,0
Cat,1,1471,Adult,9,February,1,Mix,Other,Healthy/Normal,0
Dog,1,443,Young Adult,77,March,1,Mix,Black,Injured,0
Dog,0,126,Puppy/Kitten,3,July,1,Mix,Black,Healthy/Normal,0
Dog,1,523,Young Adult,6,March,0,Mix,White,Healthy/Normal,0
Cat,1,72,Puppy/Kitten,66,July,1,Pure,Black,Healthy/Normal,0
Dog,1,184,Puppy/Kitten,2,April,1,Mix,Brown,Healthy/Normal,0
Cat,1,801,Young Adult,71,August,1,Pure,Red,Sick/Medical,0
Dog,1,264,Puppy/Kitten,20,August,0,Mix,Black,Healthy/Normal,0
Dog,1,1512,Adult,17,October,1,Mix,Black,Healthy/Normal,0
Cat,1,162,Puppy/Kitten,40,August,1,Pure,Brown,Healthy/Normal,0
Cat,1,404,Young Adult,37,September,1,Mix,Black,Sick/Medical,0
Dog,1,761,Young Adult,30,September,1,Pure,White,Healthy/Normal,0
Dog,1,509,Young Adult,6,May,1,Pure,Brown,Healthy/Normal,0
Dog,1,4027,Senior,9,April,1,Mix,Black,Healthy/Normal,0
Dog,1,305,Puppy/Kitten,67,October,1,Mix,Brown,Healthy/Normal,0
Dog,1,168,Puppy/Kitten,12,August,1,Mix,Brown,Healthy/Normal,0
Cat,1,3290,Senior,3,October,1,Pure,White,Healthy/Normal,0
Cat,0,36,Puppy/Kitten,29,June,0,Mix,Black,Life Stage/Developmental,0
Dog,1,1651,Adult,13,January,1,Pure,Brown,Healthy/Normal,0
Dog,1,372,Young Adult,7,December,0,Pure,Black,Healthy/Normal,0
Dog,1,83,Puppy/Kitten,22,May,1,Pure,Black,Healthy/Normal,0
Dog,1,635,Young Adult,88,July,1,Pure,Black,Healthy/Normal,0
Dog,1,4751,Senior,2,December,0,Pure,White,Sick/Medical,0
Dog,1,217,Puppy/Kitten,4,May,0,Pure,White,Healthy/Normal,0
Cat,1,987,Young Adult,3,March,1,Mix,Black,Healthy/Normal,0
Dog,1,308,Puppy/Kitten,3,August,0,Mix,Brown,Healthy/Normal,0
Cat,0,56,Puppy/Kitten,4,November,0,Pure,Other,Sick/Medical,0
Dog,1,2923,Senior,1,October,1,Mix,Black,Healthy/Normal,0
Dog,1,3021,Senior,25,November,1,Pure,Gold,Healthy/Normal,0
Cat,1,4844,Senior,39,May,1,Mix,Other,Healthy/Normal,0
Dog,1,457,Young Adult,15,December,1,Mix,White,Healthy/Normal,0
Cat,1,85,Puppy/Kitten,56,October,1,Pure,White,Healthy/Normal,0
Cat,0,1472,Adult,11,August,1,Mix,Black,Behavioral Issues,0
Dog,1,375,Young Adult,9,September,1,Mix,White,Healthy/Normal,0
Cat,0,86,Puppy/Kitten,9,October,1,Pure,Red,Healthy/Normal,0
Cat,0,72,Puppy/Kitten,57,July,1,Mix,Other,Healthy/Normal,0
Dog,1,151,Puppy/Kitten,75,January,1,Mix,Black,Sick/Medical,0
Cat,1,1346,Adult,250,December,1,Mix,Grey,Life Stage/Developmental,0
Cat,1,93,Puppy/Kitten,5,October,1,Mix,Black,Healthy/Normal,0
Other,0,731,Young Adult,1,March,0,Mix,Black,Sick/Medical,0
Dog,1,1999,Adult,15,May,1,Mix,Black,Healthy/Normal,0
Dog,1,127,Puppy/Kitten,4,September,1,Mix,White,Healthy/Normal,0
Dog,0,157,Puppy/Kitten,6,June,0,Pure,Brown,Healthy/Normal,0
Dog,1,3451,Senior,2,September,1,Mix,White,Healthy/Normal,0
Cat,1,61,Puppy/Kitten,15,June,1,Pure,Black,Healthy/Normal,0
Cat,0,93,Puppy/Kitten,1,June,0,Mix,Black,Healthy/Normal,0
Dog,1,370,Young Adult,5,August,1,Mix,Other,Healthy/Normal,0
Dog,1,375,Young Adult,10,August,1,Mix,Red,Injured,0
Dog,0,20,Puppy/Kitten,7,June,0,Mix,White,Life Stage/Developmental,0
Cat,0,307,Puppy/Kitten,2,April,0,Pure,Red,Healthy/Normal,0
Cat,1,60,Puppy/Kitten,5,July,1,Pure,White,Healthy/Normal,0
Dog,1,568,Young Adult,19,October,1,Mix,White,Healthy/Normal,0
Cat,1,62,Puppy/Kitten,4,May,1,Mix,White,Healthy/Normal,0
Dog,1,371,Young Adult,6,September,1,Pure,Black,Healthy/Normal,0
Cat,0,158,Puppy/Kitten,5,October,1,Mix,White,Healthy/Normal,0
Dog,1,475,Young Adult,3,April,0,Pure,White,Healthy/Normal,0
Dog,1,133,Puppy/Kitten,10,April,1,Mix,Black,Healthy/Normal,0
Dog,1,1283,Adult,3,December,1,Pure,White,Injured,0
Dog,1,744,Young Adult,13,January,0,Pure,Black,Healthy/Normal,0
Cat,1,115,Puppy/Kitten,12,June,1,Mix,Red,Healthy/Normal,0
Cat,0,86,Puppy/Kitten,34,August,1,Mix,Black,Sick/Medical,0
Cat,1,128,Puppy/Kitten,125,February,1,Mix,White,Healthy/Normal,0
Dog,1,94,Puppy/Kitten,3,August,0,Mix,White,Healthy/Normal,0
Cat,1,554,Young Adult,5,November,1,Mix,Other,Healthy/Normal,0
Cat,1,736,Young Adult,4,July,1,Mix,White,Healthy/Normal,0
Cat,1,64,Puppy/Kitten,12,October,1,Mix,Grey,Healthy/Normal,0
Dog,1,457,Young Adult,1,January,0,Pure,White,Healthy/Normal,0
Cat,1,63,Puppy/Kitten,53,July,1,Pure,White,Healthy/Normal,0
Dog,0,732,Young Adult,1,July,0,Pure,White,Healthy/Normal,0
Cat,1,192,Puppy/Kitten,162,November,0,Pure,White,Healthy/Normal,0
Dog,1,732,Young Adult,1,July,0,Pure,Black,Healthy/Normal,0
Dog,1,549,Young Adult,2,March,0,Pure,Grey,Healthy/Normal,0
Cat,0,26,Puppy/Kitten,3,April,0,Mix,Black,Life Stage/Developmental,0
Cat,1,737,Young Adult,5,August,0,Pure,Black,Healthy/Normal,0
Cat,0,219,Puppy/Kitten,4,February,1,Pure,Brown,Healthy/Normal,0
Dog,1,732,Young Adult,1,September,1,Mix,White,Healthy/Normal,0
Other,0,367,Young Adult,1,May,0,Mix,Brown,Healthy/Normal,0
Dog,1,777,Young Adult,13,October,1,Mix,White,Healthy/Normal,0
Dog,0,734,Young Adult,4,July,1,Pure,White,Healthy/Normal,0
Dog,1,1252,Adult,156,April,1,Pure,Tricolor,Healthy/Normal,0
Cat,1,561,Young Adult,1,April,1,Mix,Black,Healthy/Normal,0
Dog,1,68,Puppy/Kitten,31,November,1,Mix,Black,Healthy/Normal,0
Dog,1,404,Young Adult,12,March,1,Pure,Brown,Healthy/Normal,0
Cat,1,106,Puppy/Kitten,56,July,1,Mix,White,Healthy/Normal,0
Dog,1,3661,Senior,7,November,1,Mix,White,Healthy/Normal,0
Other,0,37,Puppy/Kitten,5,June,0,Mix,Red,Healthy/Normal,0
Dog,0,738,Young Adult,6,April,1,Pure,Gold,Injured,0
Dog,1,814,Young Adult,12,February,1,Mix,White,Healthy/Normal,0
Dog,1,3658,Senior,76,February,1,Mix,White,Healthy/Normal,0
Dog,1,2301,Adult,18,July,1,Mix,Red,Healthy/Normal,0
Cat,1,911,Young Adult,28,June,1,Pure,Black,Healthy/Normal,0
Dog,1,336,Puppy/Kitten,1,September,1,Pure,Black,Injured,0
Dog,0,58,Puppy/Kitten,12,January,1,Pure,Tricolor,Healthy/Normal,0
Cat,0,734,Young Adult,4,November,0,Mix,White,Healthy/Normal,0
Other,0,369,Young Adult,3,May,0,Pure,Black,Injured,0
Dog,1,76,Puppy/Kitten,3,July,1,Pure,Red,Healthy/Normal,0
Dog,1,795,Young Adult,65,October,1,Mix,White,Healthy/Normal,0
Cat,1,122,Puppy/Kitten,101,August,1,Pure,Brown,Healthy/Normal,0
Other,0,366,Young Adult,1,April,0,Mix,White,Healthy/Normal,0
Cat,1,75,Puppy/Kitten,33,August,1,Mix,White,Healthy/Normal,0
Dog,1,315,Puppy/Kitten,11,March,1,Pure,Black,Healthy/Normal,0
Dog,1,380,Young Adult,7,December,1,Mix,Black,Healthy/Normal,0
Dog,1,281,Puppy/Kitten,6,January,1,Mix,Black,Healthy/Normal,0
Dog,1,2215,Adult,5,January,1,Mix,Tricolor,Healthy/Normal,0
Dog,1,152,Puppy/Kitten,26,April,1,Mix,White,Healthy/Normal,0
Dog,0,62,Puppy/Kitten,36,June,1,Mix,Black,Healthy/Normal,0
Dog,1,91,Puppy/Kitten,22,August,0,Mix,Black,Healthy/Normal,0
Dog,1,156,Puppy/Kitten,3,March,0,Mix,Tricolor,Healthy/Normal,0
Cat,0,368,Young Adult,3,April,0,Mix,White,Injured,0
Dog,1,162,Puppy/Kitten,39,December,1,Mix,Black,Healthy/Normal,0
Dog,1,378,Young Adult,12,August,1,Pure,Black,Healthy/Normal,0
Cat,1,82,Puppy/Kitten,39,November,1,Pure,Brown,Healthy/Normal,0
Dog,0,739,Young Adult,1,April,0,Pure,White,Healthy/Normal,0
Other,0,733,Young Adult,1,December,0,Mix,Black,Sick/Medical,0
Dog,1,734,Young Adult,4,February,1,Mix,Red,Healthy/Normal,0
Cat,0,59,Puppy/Kitten,7,May,1,Pure,White,Healthy/Normal,0
Other,1,366,Young Adult,1,July,1,Mix,Black,Healthy/Normal,0
Cat,1,105,Puppy/Kitten,61,July,1,Mix,Black,Healthy/Normal,0
Cat,1,732,Young Adult,1,June,1,Pure,Other,Injured,0
Dog,1,393,Young Adult,27,April,1,Pure,Black,Healthy/Normal,0
Dog,0,69,Puppy/Kitten,8,November,1,Pure,Black,Healthy/Normal,0
Bird,0,377,Young Adult,11,June,0,Pure,White,Healthy/Normal,0
Cat,0,93,Puppy/Kitten,56,August,1,Pure,Black,Healthy/Normal,0
Dog,1,62,Puppy/Kitten,1,January,0,Mix,Gold,Healthy/Normal,0
Dog,1,82,Puppy/Kitten,5,February,1,Mix,Black,Healthy/Normal,0
Dog,1,61,Puppy/Kitten,27,December,1,Mix,Gold,Healthy/Normal,0
Cat,1,100,Puppy/Kitten,26,July,1,Pure,White,Healthy/Normal,0
Dog,1,747,Young Adult,16,December,1,Pure,Black,Healthy/Normal,0
Dog,1,650,Young Adult,80,July,1,Mix,White,Healthy/Normal,0
Cat,0,74,Puppy/Kitten,4,December,1,Mix,Brown,Healthy/Normal,0
Dog,1,743,Young Adult,11,December,1,Mix,White,Healthy/Normal,0
Dog,0,183,Puppy/Kitten,6,June,1,Pure,Brown,Healthy/Normal,0
Cat,1,63,Puppy/Kitten,8,October,0,Mix,White,Sick/Medical,0
Cat,0,124,Puppy/Kitten,3,June,1,Pure,Brown,Healthy/Normal,0
Dog,1,57,Puppy/Kitten,4,February,1,Mix,White,Healthy/Normal,0
Cat,1,190,Puppy/Kitten,6,November,1,Mix,Grey,Healthy/Normal,0
Dog,1,249,Puppy/Kitten,6,May,1,Pure,Brown,Healthy/Normal,0
Dog,1,1483,Adult,11,February,1,Pure,Red,Healthy/Normal,0
Cat,1,95,Puppy/Kitten,26,August,0,Pure,Black,Healthy/Normal,0
Dog,0,186,Puppy/Kitten,5,July,0,Mix,Black,Healthy/Normal,0
Other,0,369,Young Adult,3,August,0,Pure,Brown,Healthy/Normal,0
Cat,1,83,Puppy/Kitten,54,November,1,Pure,Red,Healthy/Normal,0
Cat,1,81,Puppy/Kitten,34,December,1,Pure,Black,Healthy/Normal,0
Cat,0,157,Puppy/Kitten,3,September,0,Mix,White,Healthy/Normal,0
Dog,0,59,Puppy/Kitten,6,May,0,Mix,White,Healthy/Normal,0
Other,0,370,Young Adult,3,April,0,Mix,Black,Healthy/Normal,0
Dog,1,379,Young Adult,12,March,1,Pure,Black,Healthy/Normal,0
Cat,1,66,Puppy/Kitten,5,September,0,Mix,Black,Healthy/Normal,0
Dog,1,483,Puppy/Kitten,118,October,1,Mix,White,Healthy/Normal,0
Cat,1,69,Puppy/Kitten,8,November,1,Mix,Other,Healthy/Normal,0
Cat,1,432,Young Adult,67,June,1,Pure,Other,Healthy/Normal,0
Cat,1,756,Young Adult,26,July,0,Pure,Brown,Healthy/Normal,0
Dog,0,370,Young Adult,4,January,0,Mix,Black,Sick/Medical,0
Dog,1,1253,Adult,4,January,1,Pure,White,Healthy/Normal,0
Dog,1,66,Puppy/Kitten,5,December,1,Pure,Tricolor,Healthy/Normal,0
Dog,1,104,Puppy/Kitten,15,April,1,Mix,White,Healthy/Normal,0
Dog,1,2110,Adult,72,October,1,Pure,White,Healthy/Normal,0
Cat,1,248,Puppy/Kitten,4,December,1,Mix,Other,Healthy/Normal,0
Dog,1,404,Young Adult,39,June,1,Mix,White,Healthy/Normal,0
Cat,1,135,Puppy/Kitten,43,September,1,Pure,Other,Healthy/Normal,0
Cat,1,51,Puppy/Kitten,20,May,0,Mix,Black,Healthy/Normal,0
Other,1,799,Young Adult,67,October,0,Pure,Brown,Healthy/Normal,0
Cat,1,124,Puppy/Kitten,71,October,1,Mix,Black,Sick/Medical,0
Dog,1,612,Young Adult,246,September,1,Mix,White,Healthy/Normal,0
Dog,1,189,Puppy/Kitten,5,January,1,Mix,White,Healthy/Normal,0
Dog,1,325,Puppy/Kitten,50,October,1,Pure,White,Healthy/Normal,0
Dog,1,750,Young Adult,19,July,0,Pure,Tricolor,Healthy/Normal,0
Cat,1,2624,Senior,66,February,1,Mix,White,Healthy/Normal,0
Dog,1,4370,Senior,90,February,1,Mix,White,Healthy/Normal,0
Dog,1,752,Young Adult,20,October,1,Pure,White,Healthy/Normal,0
Dog,1,3257,Senior,9,January,1,Mix,Brown,Healthy/Normal,0
Dog,1,426,Young Adult,3,July,0,Pure,Black,Healthy/Normal,0
Cat,1,74,Puppy/Kitten,29,November,1,Pure,White,Healthy/Normal,0
Dog,0,49,Puppy/Kitten,42,February,0,Mix,Black,Healthy/Normal,0
Bird,0,371,Young Adult,6,November,0,Mix,Other,Healthy/Normal,0
Dog,0,66,Puppy/Kitten,5,October,1,Mix,Tricolor,Healthy/Normal,0
Cat,1,1467,Adult,5,March,1,Mix,Black,Healthy/Normal,0
Dog,1,1829,Adult,1,June,0,Mix,White,Healthy/Normal,0
Cat,1,97,Puppy/Kitten,53,October,1,Mix,Other,Healthy/Normal,0
Cat,1,76,Puppy/Kitten,22,July,1,Mix,White,Healthy/Normal,0
Dog,1,2930,Senior,7,December,1,Mix,White,Healthy/Normal,0
Cat,1,4583,Senior,17,November,1,Mix,White,Healthy/Normal,0
Dog,1,376,Young Adult,11,December,1,Pure,Brown,Healthy/Normal,0
Cat,0,154,Puppy/Kitten,4,July,0,Mix,White,Healthy/Normal,0
Cat,1,90,Puppy/Kitten,50,June,1,Pure,Black,Healthy/Normal,0
Cat,1,393,Young Adult,27,November,1,Pure,Other,Healthy/Normal,0
Dog,1,1524,Adult,63,June,1,Mix,Black,Life Stage/Developmental,0
Dog,1,1337,Adult,198,November,1,Mix,Black,Healthy/Normal,0
Cat,1,249,Puppy/Kitten,4,December,1,Mix,White,Healthy/Normal,0
Dog,1,742,Young Adult,4,April,1,Mix,Black,Healthy/Normal,0
Other,1,231,Puppy/Kitten,24,November,1,Pure,Black,Healthy/Normal,0
Dog,0,188,Puppy/Kitten,6,July,1,Mix,Black,Healthy/Normal,0
Cat,1,2569,Senior,11,March,1,Mix,Red,Healthy/Normal,0
Dog,0,731,Young Adult,1,September,1,Mix,Black,Injured,0
Dog,1,1097,Adult,2,April,1,Mix,White,Healthy/Normal,0
Cat,1,736,Young Adult,4,December,1,Pure,White,Healthy/Normal,0
Dog,1,2568,Senior,10,July,1,Mix,Black,Healthy/Normal,0
Cat,1,746,Young Adult,14,July,1,Pure,Red,Healthy/Normal,0
Cat,1,97,Puppy/Kitten,35,July,1,Pure,White,Healthy/Normal,0
Dog,1,371,Young Adult,5,March,0,Mix,Brown,Healthy/Normal,0
Dog,1,1513,Adult,51,December,1,Mix,Gold,Healthy/Normal,0
Cat,0,124,Puppy/Kitten,3,October,0,Mix,Brown,Healthy/Normal,0
Cat,1,868,Young Adult,137,February,1,Mix,Black,Healthy/Normal,0
Dog,1,1462,Adult,1,February,1,Mix,White,Healthy/Normal,0
Cat,1,642,Young Adult,1,October,1,Mix,Black,Healthy/Normal,0
Dog,1,737,Young Adult,6,March,0,Pure,Brown,Healthy/Normal,0
Dog,1,2668,Senior,16,October,1,Mix,White,Healthy/Normal,0
Cat,1,270,Puppy/Kitten,28,November,1,Mix,Brown,Healthy/Normal,0
Dog,0,61,Puppy/Kitten,52,February,1,Mix,Black,Healthy/Normal,0
Cat,1,219,Puppy/Kitten,8,November,1,Mix,Red,Healthy/Normal,0
Cat,1,188,Puppy/Kitten,136,October,1,Pure,White,Healthy/Normal,0
Cat,1,734,Young Adult,2,December,1,Mix,Red,Healthy/Normal,0
Other,0,734,Young Adult,3,March,0,Pure,Black,Sick/Medical,0
Dog,1,734,Young Adult,3,June,0,Mix,Black,Healthy/Normal,0
Dog,1,70,Puppy/Kitten,9,January,1,Pure,Gold,Healthy/Normal,0
Cat,0,56,Puppy/Kitten,9,September,0,Pure,White,Healthy/Normal,0
Dog,1,735,Young Adult,4,December,1,Mix,White,Healthy/Normal,0
Dog,1,250,Puppy/Kitten,7,July,1,Mix,Gold,Healthy/Normal,0
Dog,1,1104,Adult,8,September,1,Pure,White,Healthy/Normal,0
Cat,1,110,Puppy/Kitten,72,November,1,Pure,Black,Sick/Medical,0
Cat,1,405,Young Adult,5,June,1,Mix,Black,Healthy/Normal,0
Dog,0,65,Puppy/Kitten,4,January,0,Pure,White,Healthy/Normal,0
Cat,1,230,Puppy/Kitten,15,January,1,Mix,Other,Healthy/Normal,0
Dog,1,737,Young Adult,5,November,1,Pure,Brown,Sick/Medical,0
Cat,0,368,Young Adult,2,September,0,Pure,White,Healthy/Normal,0
Dog,0,95,Puppy/Kitten,4,July,1,Pure,Black,Healthy/Normal,0
Cat,1,63,Puppy/Kitten,53,July,1,Pure,White,Healthy/Normal,0
Cat,1,2938,Senior,16,June,0,Mix,Other,Healthy/Normal,0
Dog,1,590,Young Adult,42,February,1,Mix,Brown,Healthy/Normal,0
Other,1,369,Young Adult,2,October,0,Pure,Black,Healthy/Normal,0
Dog,1,616,Young Adult,7,April,1,Mix,Black,Healthy/Normal,0
Cat,0,367,Young Adult,2,December,0,Mix,Brown,Healthy/Normal,0
Cat,0,211,Puppy/Kitten,58,November,0,Mix,Other,Healthy/Normal,0
Cat,0,969,Young Adult,4,February,1,Mix,Brown,Healthy/Normal,0
Dog,1,376,Young Adult,11,March,1,Mix,Black,Healthy/Normal,0
Dog,1,735,Young Adult,5,July,1,Mix,Black,Healthy/Normal,0
Dog,1,737,Young Adult,7,February,1,Mix,White,Healthy/Normal,0
Dog,1,789,Young Adult,57,May,1,Mix,Black,Healthy/Normal,0
Cat,1,107,Puppy/Kitten,54,December,1,Mix,Other,Healthy/Normal,0
Cat,1,108,Puppy/Kitten,85,August,1,Pure,Other,Healthy/Normal,0
Cat,1,1164,Adult,68,July,1,Mix,Other,Healthy/Normal,0
Dog,1,54,Puppy/Kitten,23,February,1,Mix,Black,Healthy/Normal,0
Dog,1,84,Puppy/Kitten,23,May,1,Pure,Tricolor,Healthy/Normal,0
Dog,1,922,Young Adult,10,July,0,Pure,White,Healthy/Normal,0
Cat,1,733,Young Adult,1,July,1,Pure,Other,Healthy/Normal,0
Dog,1,738,Young Adult,9,August,1,Mix,White,Healthy/Normal,0
Dog,1,251,Puppy/Kitten,6,January,1,Mix,White,Healthy/Normal,0
Cat,1,82,Puppy/Kitten,55,July,1,Mix,White,Healthy/Normal,0
Dog,1,788,Young Adult,11,March,1,Mix,Black,Healthy/Normal,0
Dog,1,205,Puppy/Kitten,22,January,1,Pure,Black,Healthy/Normal,0
Dog,1,285,Puppy/Kitten,10,January,1,Pure,Brown,Healthy/Normal,0
Dog,1,2197,Adult,5,August,1,Pure,Black,Healthy/Normal,0
Dog,1,1353,Adult,10,February,1,Mix,Black,Healthy/Normal,0
Cat,1,788,Young Adult,58,November,1,Pure,Black,Healthy/Normal,0
Dog,1,734,Young Adult,4,May,0,Pure,White,Other/Unknown,0
Dog,1,114,Puppy/Kitten,109,July,1,Mix,Gold,Healthy/Normal,0
Dog,1,306,Puppy/Kitten,4,August,1,Mix,White,Healthy/Normal,0
Dog,1,1876,Adult,92,February,1,Pure,Gold,Healthy/Normal,0
Dog,1,431,Young Adult,3,December,1,Pure,Black,Healthy/Normal,0
Other,0,95,Puppy/Kitten,3,August,1,Pure,Gold,Healthy/Normal,0
Bird,0,732,Young Adult,1,September,0,Mix,Brown,Injured,0
Dog,1,752,Young Adult,21,October,1,Mix,Black,Healthy/Normal,0
Cat,0,77,Puppy/Kitten,27,October,1,Pure,Red,Healthy/Normal,0
Dog,1,100,Puppy/Kitten,8,December,0,Mix,White,Healthy/Normal,0
Dog,1,63,Puppy/Kitten,2,December,1,Pure,White,Healthy/Normal,0
Dog,1,735,Young Adult,4,April,1,Mix,Black,Healthy/Normal,0
Other,1,736,Young Adult,4,October,0,Pure,Black,Healthy/Normal,0
Cat,0,372,Young Adult,6,January,1,Mix,Other,Healthy/Normal,0
Cat,0,59,Puppy/Kitten,13,December,0,Mix,White,Sick/Medical,0
Cat,1,41,Puppy/Kitten,5,October,0,Pure,Brown,Healthy/Normal,0
Dog,1,4388,Senior,5,July,1,Pure,White,Healthy/Normal,0
