animal_type,has_name,outcome_group,age_days_outcome,age_group_intake,los_at_shelter,month_of_outcome,is_fixed,breed_type,color_group,intake_condition_group,dbscan_cluster
Dog,1,Positive,67,Puppy/Kitten,60,January,1,Mix,Gold,Life Stage/Developmental,0
Cat,1,Positive,733,Young Adult,244,October,1,Pure,Other,Healthy/Normal,0
Cat,1,Positive,78,Puppy/Kitten,46,October,1,Mix,Black,Healthy/Normal,0
Cat,0,Neutral,157,Puppy/Kitten,3,October,0,Pure,Brown,Healthy/Normal,0
Dog,1,Positive,375,Young Adult,5,August,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,171,Puppy/Kitten,5,July,0,Mix,White,Healthy/Normal,0
Cat,0,Negative,67,Puppy/Kitten,5,December,0,Pure,Black,Injured,0
Cat,0,Neutral,367,Young Adult,1,June,0,Mix,Brown,Healthy/Normal,0
Dog,1,Positive,1936,Adult,15,January,1,Mix,Black,Healthy/Normal,0
Other,0,Negative,732,Young Adult,1,August,0,Pure,Black,Sick/Medical,0
Dog,1,Positive,742,Young Adult,12,January,1,Mix,Brown,Healthy/Normal,0
Dog,1,Positive,376,Young Adult,10,January,1,Mix,Grey,Healthy/Normal,0
Dog,1,Positive,373,Young Adult,7,June,1,Mix,Tricolor,Healthy/Normal,0
Cat,1,Positive,760,Young Adult,29,April,1,Pure,Other,Healthy/Normal,0
Dog,0,Positive,74,Puppy/Kitten,3,July,1,Pure,Black,Other/Unknown,0
Dog,1,Positive,731,Young Adult,4,June,1,Mix,Brown,Healthy/Normal,0
Cat,1,Positive,83,Puppy/Kitten,53,June,1,Mix,White,Healthy/Normal,0
Cat,0,Neutral,368,Young Adult,3,October,0,Pure,Other,Healthy/Normal,0
Cat,1,Positive,71,Puppy/Kitten,10,July,1,Pure,Brown,Healthy/Normal,0
Cat,0,Neutral,48,Puppy/Kitten,18,June,0,Mix,Red,Healthy/Normal,0
Dog,1,Positive,551,Young Adult,2,September,1,Pure,Gold,Healthy/Normal,0
Dog,1,Positive,1461,Adult,1,January,1,Mix,Gold,Healthy/Normal,0
Dog,1,Positive,353,Puppy/Kitten,108,April,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,1184,Adult,87,March,1,Mix,White,Healthy/Normal,0
Other,1,Negative,734,Young Adult,2,August,0,Pure,Black,Healthy/Normal,0
Dog,1,Positive,3291,Senior,4,October,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,2588,Adult,71,February,1,Mix,Other,Healthy/Normal,0
Cat,0,Neutral,2925,Senior,2,May,1,Mix,Brown,Healthy/Normal,0
Dog,1,Positive,136,Puppy/Kitten,1,June,1,Mix,White,Healthy/Normal,0
Dog,1,Neutral,377,Young Adult,10,September,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,100,Puppy/Kitten,24,July,1,Mix,White,Healthy/Normal,0
Dog,1,Neutral,738,Young Adult,8,April,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,220,Puppy/Kitten,35,December,1,Pure,Brown,Healthy/Normal,0
Cat,1,Positive,127,Puppy/Kitten,65,November,1,Pure,Brown,Healthy/Normal,0
Dog,1,Positive,741,Young Adult,11,June,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,1652,Adult,7,November,1,Pure,Red,Healthy/Normal,0
Cat,1,Positive,376,Young Adult,10,May,0,Mix,Black,Healthy/Normal,0
Cat,0,Neutral,737,Young Adult,6,August,0,Mix,White,Healthy/Normal,0
Cat,1,Positive,100,Puppy/Kitten,52,July,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,373,Young Adult,7,September,0,Mix,Black,Healthy/Normal,0
Dog,1,Positive,664,Young Adult,89,October,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,270,Puppy/Kitten,27,August,1,Mix,Black,Healthy/Normal,0
Cat,1,Positive,69,Puppy/Kitten,7,August,0,Mix,Black,Healthy/Normal,0
Cat,1,Neutral,40,Puppy/Kitten,7,October,0,Pure,Red,Healthy/Normal,0
Cat,1,Positive,72,Puppy/Kitten,10,December,1,Mix,Brown,Healthy/Normal,0
Cat,1,Positive,219,Puppy/Kitten,4,February,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,82,Puppy/Kitten,33,October,1,Pure,Red,Healthy/Normal,0
Cat,0,Neutral,369,Young Adult,3,February,0,Pure,Other,Healthy/Normal,0
Cat,0,Positive,69,Puppy/Kitten,66,June,1,Mix,Brown,Life Stage/Developmental,0
Dog,1,Positive,1119,Adult,23,July,1,Mix,Black,Healthy/Normal,0
Cat,1,Positive,126,Puppy/Kitten,4,August,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,785,Young Adult,5,March,1,Pure,White,Healthy/Normal,0
Cat,1,Positive,131,Puppy/Kitten,99,September,1,Mix,Black,Healthy/Normal,0
Cat,0,Positive,59,Puppy/Kitten,6,November,1,Pure,White,Healthy/Normal,0
Dog,1,Positive,309,Puppy/Kitten,3,February,0,Pure,White,Healthy/Normal,0
Dog,0,Negative,49,Puppy/Kitten,2,June,0,Mix,Black,Healthy/Normal,0
Dog,1,Neutral,2827,Senior,4,July,0,Mix,Black,Healthy/Normal,0
Dog,1,Positive,101,Puppy/Kitten,9,November,1,Pure,White,Healthy/Normal,0
Other,0,Negative,13,Puppy/Kitten,4,June,0,Pure,Brown,Healthy/Normal,0
Dog,1,Positive,740,Young Adult,7,May,1,Mix,Brown,Healthy/Normal,0
Cat,1,Positive,2218,Adult,26,April,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,1696,Adult,4,June,0,Mix,Grey,Healthy/Normal,0
Dog,1,Neutral,751,Young Adult,20,June,0,Pure,White,Injured,0
Cat,0,Neutral,1097,Adult,1,February,1,Mix,Brown,Healthy/Normal,0
Dog,0,Neutral,1108,Adult,12,June,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,691,Young Adult,144,October,1,Mix,White,Healthy/Normal,0
Cat,0,Neutral,1830,Adult,3,March,0,Mix,White,Healthy/Normal,0
Cat,0,Positive,71,Puppy/Kitten,47,January,1,Pure,Brown,Healthy/Normal,0
Cat,1,Neutral,368,Young Adult,2,July,0,Pure,Red,Injured,0
Dog,1,Neutral,376,Young Adult,10,March,1,Mix,Gold,Healthy/Normal,0
Cat,1,Positive,384,Young Adult,18,March,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,407,Puppy/Kitten,46,January,1,Mix,Tricolor,Healthy/Normal,0
Cat,1,Positive,3914,Senior,1,January,1,Pure,Brown,Healthy/Normal,0
Cat,1,Positive,2193,Adult,1,December,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,108,Puppy/Kitten,14,March,1,Mix,Red,Healthy/Normal,0
Cat,0,Positive,163,Puppy/Kitten,10,November,1,Pure,Other,Healthy/Normal,0
Cat,0,Positive,73,Puppy/Kitten,14,December,1,Pure,White,Healthy/Normal,0
Cat,1,Positive,963,Young Adult,49,November,1,Pure,Brown,Healthy/Normal,0
Cat,0,Positive,87,Puppy/Kitten,10,August,1,Mix,Other,Healthy/Normal,0
Dog,1,Neutral,2561,Adult,6,November,0,Mix,Brown,Healthy/Normal,0
Cat,1,Positive,395,Young Adult,28,July,1,Pure,Other,Healthy/Normal,0
Dog,1,Positive,733,Young Adult,3,June,1,Mix,Black,Healthy/Normal,0
Cat,1,Neutral,54,Puppy/Kitten,8,November,0,Pure,White,Injured,0
Cat,1,Neutral,68,Puppy/Kitten,6,October,0,Mix,Red,Healthy/Normal,0
Dog,1,Positive,368,Young Adult,2,April,1,Mix,Black,Healthy/Normal,0
Dog,0,Positive,190,Puppy/Kitten,6,September,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,373,Young Adult,7,April,1,Mix,White,Healthy/Normal,0
Dog,0,Positive,153,Puppy/Kitten,3,February,1,Mix,Black,Healthy/Normal,0
Other,0,Neutral,97,Puppy/Kitten,4,February,0,Pure,Tricolor,Healthy/Normal,0
Cat,1,Positive,68,Puppy/Kitten,38,November,0,Mix,Other,Healthy/Normal,0
Dog,1,Positive,62,Puppy/Kitten,2,March,1,Pure,White,Healthy/Normal,0
Cat,1,Positive,91,Puppy/Kitten,88,July,1,Mix,White,Healthy/Normal,0
Dog,0,Neutral,1103,Adult,7,January,1,Mix,Grey,Injured,0
Cat,1,Positive,62,Puppy/Kitten,32,November,1,Pure,White,Sick/Medical,0
Cat,0,Negative,49,Puppy/Kitten,4,July,0,Pure,White,Healthy/Normal,0
Dog,1,Positive,981,Young Adult,67,January,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,351,Puppy/Kitten,17,August,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,2470,Adult,81,January,1,Pure,White,Healthy/Normal,0
Dog,0,Positive,2562,Senior,6,March,1,Pure,Tricolor,Healthy/Normal,0
Cat,1,Positive,99,Puppy/Kitten,23,September,1,Mix,Grey,Healthy/Normal,0
Dog,1,Positive,482,Puppy/Kitten,171,December,1,Mix,Black,Healthy/Normal,0
Cat,0,Neutral,370,Young Adult,4,April,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,371,Young Adult,6,March,1,Mix,Grey,Healthy/Normal,0
Dog,1,Positive,254,Puppy/Kitten,9,January,1,Mix,Brown,Healthy/Normal,0
Cat,1,Neutral,37,Puppy/Kitten,6,September,0,Mix,White,Healthy/Normal,0
Dog,1,Neutral,495,Young Adult,6,July,1,Mix,White,Healthy/Normal,0
Dog,1,Negative,35,Puppy/Kitten,3,January,0,Pure,White,Healthy/Normal,0
Other,0,Positive,401,Young Adult,35,May,0,Mix,Gold,Healthy/Normal,0
Cat,0,Neutral,369,Young Adult,3,October,0,Mix,Black,Healthy/Normal,0
Dog,1,Positive,1465,Adult,4,February,1,Pure,Brown,Healthy/Normal,0
Cat,1,Positive,83,Puppy/Kitten,3,June,0,Pure,White,Sick/Medical,0
Cat,1,Positive,114,Puppy/Kitten,53,December,1,Pure,Brown,Healthy/Normal,0
Cat,1,Positive,771,Young Adult,41,October,1,Mix,Red,Healthy/Normal,0
Dog,1,Neutral,2205,Adult,14,December,1,Mix,Black,Healthy/Normal,0
Cat,1,Positive,757,Young Adult,26,November,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,100,Puppy/Kitten,8,February,1,Pure,Red,Healthy/Normal,0
Dog,1,Positive,1129,Adult,33,February,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,367,Young Adult,2,April,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,981,Young Adult,249,June,1,Mix,Black,Healthy/Normal,0
Cat,0,Positive,140,Puppy/Kitten,97,September,1,Mix,Other,Healthy/Normal,0
Dog,1,Positive,187,Puppy/Kitten,3,January,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,625,Young Adult,1,May,0,Mix,Black,Healthy/Normal,0
Dog,1,Positive,750,Young Adult,20,November,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,1537,Adult,76,March,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,65,Puppy/Kitten,34,July,1,Mix,Brown,Healthy/Normal,0
Cat,1,Positive,733,Young Adult,1,June,1,Mix,White,Healthy/Normal,0
Dog,0,Positive,54,Puppy/Kitten,8,July,1,Pure,White,Healthy/Normal,0
Dog,1,Positive,2924,Senior,1,January,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,369,Young Adult,3,November,1,Pure,White,Healthy/Normal,0
Dog,1,Positive,1722,Adult,26,April,1,Pure,Black,Healthy/Normal,0
Cat,0,Neutral,278,Puppy/Kitten,4,September,0,Pure,Brown,Healthy/Normal,0
Cat,0,Neutral,126,Puppy/Kitten,4,December,0,Mix,Black,Healthy/Normal,0
Dog,1,Neutral,738,Young Adult,7,March,0,Mix,Black,Healthy/Normal,0
Dog,1,Positive,1106,Adult,10,June,1,Pure,Black,Healthy/Normal,0
Cat,0,Positive,107,Puppy/Kitten,16,August,1,Pure,White,Healthy/Normal,0
Cat,0,Positive,75,Puppy/Kitten,14,November,1,Pure,Red,Healthy/Normal,0
Dog,1,Positive,4383,Senior,1,October,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,930,Young Adult,29,September,1,Mix,White,Healthy/Normal,0
Cat,1,Neutral,70,Puppy/Kitten,25,June,0,Pure,Other,Injured,0
Dog,1,Negative,425,Young Adult,7,February,1,Mix,Black,Healthy/Normal,0
Cat,0,Neutral,734,Young Adult,4,May,0,Pure,White,Healthy/Normal,0
Cat,1,Positive,104,Puppy/Kitten,73,December,1,Mix,Red,Healthy/Normal,0
Dog,1,Positive,735,Young Adult,5,April,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,973,Young Adult,59,February,1,Mix,Brown,Healthy/Normal,0
Cat,0,Positive,159,Puppy/Kitten,5,January,1,Mix,Grey,Healthy/Normal,0
Dog,1,Positive,2202,Adult,10,July,1,Pure,White,Healthy/Normal,0
Dog,1,Positive,75,Puppy/Kitten,36,February,1,Pure,Black,Healthy/Normal,0
Other,1,Positive,740,Young Adult,8,October,0,Pure,White,Healthy/Normal,0
Other,1,Positive,745,Young Adult,13,December,0,Pure,Black,Healthy/Normal,0
Dog,1,Positive,375,Puppy/Kitten,10,February,1,Mix,White,Healthy/Normal,0
Dog,0,Positive,371,Young Adult,5,June,1,Pure,White,Healthy/Normal,0
Cat,1,Positive,67,Puppy/Kitten,65,June,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,383,Young Adult,5,March,1,Pure,Tricolor,Injured,0
Dog,1,Positive,749,Young Adult,4,June,1,Pure,Tricolor,Healthy/Normal,0
Dog,0,Positive,1831,Adult,4,August,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,736,Young Adult,5,October,1,Mix,Black,Healthy/Normal,0
Cat,0,Positive,68,Puppy/Kitten,6,September,1,Mix,Brown,Healthy/Normal,0
Dog,0,Neutral,83,Puppy/Kitten,6,January,0,Mix,Black,Healthy/Normal,0
Other,0,Negative,735,Young Adult,3,July,0,Pure,Brown,Healthy/Normal,0
Cat,1,Neutral,64,Puppy/Kitten,33,July,0,Mix,Black,Healthy/Normal,0
Dog,1,Positive,61,Puppy/Kitten,16,June,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,853,Young Adult,223,July,1,Mix,Gold,Healthy/Normal,0
Dog,1,Neutral,367,Young Adult,2,April,0,Pure,Brown,Injured,0
Cat,1,Positive,401,Young Adult,36,February,1,Mix,Red,Injured,0
Cat,0,Neutral,735,Young Adult,4,June,0,Pure,White,Injured,0
Dog,1,Positive,311,Puppy/Kitten,6,March,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,100,Puppy/Kitten,65,September,1,Pure,Black,Healthy/Normal,0
Dog,0,Positive,246,Puppy/Kitten,4,May,1,Mix,Brown,Healthy/Normal,0
Cat,0,Positive,74,Puppy/Kitten,73,May,1,Mix,Black,Life Stage/Developmental,0
Cat,1,Neutral,390,Young Adult,25,July,0,Mix,Other,Healthy/Normal,0
Dog,0,Positive,56,Puppy/Kitten,11,February,1,Mix,Black,Healthy/Normal,0
Cat,1,Positive,4057,Senior,38,April,1,Pure,White,Healthy/Normal,0
Cat,1,Positive,80,Puppy/Kitten,50,November,1,Mix,Other,Healthy/Normal,0
Dog,1,Neutral,1248,Adult,29,May,1,Mix,Gold,Healthy/Normal,0
Dog,1,Positive,370,Young Adult,4,October,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,312,Puppy/Kitten,6,February,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,739,Young Adult,5,October,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,221,Puppy/Kitten,6,February,1,Pure,Grey,Healthy/Normal,0
Dog,1,Neutral,737,Young Adult,7,March,0,Mix,White,Healthy/Normal,0
Cat,1,Positive,90,Puppy/Kitten,35,September,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,2406,Adult,2,June,1,Mix,Other,Healthy/Normal,0
Dog,1,Positive,65,Puppy/Kitten,3,January,1,Mix,Black,Healthy/Normal,0
Cat,0,Positive,108,Puppy/Kitten,7,April,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,286,Puppy/Kitten,11,October,1,Pure,Other,Healthy/Normal,0
Bird,1,Positive,6812,Senior,236,May,0,Mix,White,Healthy/Normal,-1
Dog,1,Positive,1840,Adult,14,April,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,374,Young Adult,9,July,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,100,Puppy/Kitten,50,July,1,Pure,White,Healthy/Normal,0
Cat,1,Positive,736,Young Adult,4,November,1,Pure,White,Healthy/Normal,0
Dog,1,Neutral,372,Young Adult,6,February,1,Pure,White,Healthy/Normal,0
Dog,1,Positive,786,Young Adult,56,September,1,Pure,White,Sick/Medical,0
Dog,0,Neutral,1829,Adult,2,September,0,Mix,Brown,Healthy/Normal,0
Dog,1,Positive,366,Young Adult,1,February,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,2500,Adult,124,February,1,Mix,Gold,Healthy/Normal,0
Dog,1,Positive,1015,Young Adult,100,January,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,151,Puppy/Kitten,29,May,1,Pure,Tricolor,Healthy/Normal,0
Dog,1,Positive,1115,Adult,20,February,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,1104,Adult,6,December,1,Pure,Other,Healthy/Normal,0
Cat,1,Positive,84,Puppy/Kitten,16,December,1,Pure,Other,Healthy/Normal,0
Dog,1,Positive,370,Young Adult,4,March,0,Mix,White,Healthy/Normal,0
Other,0,Negative,367,Young Adult,1,December,0,Pure,Brown,Healthy/Normal,0
Other,1,Positive,372,Young Adult,7,December,0,Pure,Black,Healthy/Normal,0
Cat,1,Positive,107,Puppy/Kitten,76,August,1,Pure,Black,Healthy/Normal,0
Dog,1,Neutral,1842,Adult,19,March,1,Pure,Black,Injured,0
Dog,1,Positive,369,Young Adult,3,May,1,Mix,Black,Healthy/Normal,0
Cat,0,Neutral,17,Puppy/Kitten,2,June,0,Mix,Black,Healthy/Normal,0
Dog,1,Positive,369,Puppy/Kitten,4,November,0,Pure,Black,Healthy/Normal,0
Dog,1,Positive,1295,Adult,46,December,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,4017,Senior,1,March,1,Pure,White,Healthy/Normal,0
Cat,0,Neutral,44,Puppy/Kitten,2,September,0,Pure,Grey,Healthy/Normal,0
Dog,0,Neutral,554,Young Adult,5,September,0,Mix,Black,Injured,0
Dog,1,Neutral,1831,Adult,4,March,1,Mix,White,Healthy/Normal,0
Cat,0,Neutral,732,Young Adult,1,April,1,Mix,Brown,Healthy/Normal,0
Other,0,Negative,738,Young Adult,6,April,0,Pure,Brown,Healthy/Normal,0
Cat,0,Positive,107,Puppy/Kitten,53,August,1,Pure,Black,Healthy/Normal,0
Dog,1,Neutral,555,Young Adult,7,June,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,830,Young Adult,100,February,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,97,Puppy/Kitten,52,May,1,Mix,White,Life Stage/Developmental,0
Dog,1,Neutral,3097,Senior,8,February,1,Mix,Tricolor,Healthy/Normal,0
Dog,0,Neutral,57,Puppy/Kitten,4,June,0,Mix,White,Sick/Medical,0
Cat,0,Neutral,368,Young Adult,2,July,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,3656,Senior,3,February,1,Pure,White,Healthy/Normal,0
Other,1,Neutral,772,Young Adult,40,December,0,Pure,Black,Healthy/Normal,0
Cat,1,Positive,175,Puppy/Kitten,22,January,1,Pure,Red,Healthy/Normal,0
Dog,1,Neutral,50,Puppy/Kitten,4,February,0,Pure,White,Sick/Medical,0
Cat,1,Positive,132,Puppy/Kitten,9,November,1,Mix,Red,Healthy/Normal,0
Dog,1,Positive,1611,Adult,150,January,1,Pure,Brown,Healthy/Normal,0
Dog,1,Positive,283,Puppy/Kitten,10,June,1,Pure,Brown,Healthy/Normal,0
Dog,0,Neutral,736,Young Adult,5,February,0,Pure,Black,Injured,0
Cat,1,Negative,4022,Senior,4,November,1,Pure,Other,Sick/Medical,0
Cat,1,Positive,80,Puppy/Kitten,3,July,0,Pure,White,Healthy/Normal,0
Dog,1,Neutral,947,Young Adult,9,June,1,Mix,White,Healthy/Normal,0
Cat,1,Neutral,841,Young Adult,18,September,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,205,Puppy/Kitten,53,September,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,832,Young Adult,101,October,1,Mix,Other,Healthy/Normal,0
Dog,1,Positive,60,Puppy/Kitten,1,April,0,Pure,Black,Healthy/Normal,0
Cat,0,Neutral,79,Puppy/Kitten,3,August,0,Mix,Black,Healthy/Normal,0
Cat,0,Neutral,735,Young Adult,4,January,0,Mix,Brown,Healthy/Normal,0
Dog,1,Positive,245,Puppy/Kitten,2,April,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,67,Puppy/Kitten,39,June,1,Mix,Red,Healthy/Normal,0
Cat,1,Neutral,103,Puppy/Kitten,11,July,0,Pure,Other,Healthy/Normal,0
Dog,1,Neutral,741,Young Adult,10,December,1,Pure,Brown,Healthy/Normal,0
Dog,1,Positive,740,Young Adult,10,October,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,93,Puppy/Kitten,1,January,0,Mix,Black,Healthy/Normal,0
Cat,0,Positive,88,Puppy/Kitten,72,July,1,Pure,Black,Life Stage/Developmental,0
Cat,1,Positive,91,Puppy/Kitten,60,November,1,Pure,Black,Healthy/Normal,0
Cat,0,Positive,88,Puppy/Kitten,57,January,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,47,Puppy/Kitten,4,May,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,60,Puppy/Kitten,5,December,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,1040,Young Adult,19,August,1,Pure,White,Healthy/Normal,0
Dog,1,Neutral,1466,Adult,4,April,0,Pure,Brown,Healthy/Normal,0
Cat,1,Neutral,95,Puppy/Kitten,63,November,1,Mix,White,Life Stage/Developmental,0
Dog,1,Positive,283,Puppy/Kitten,9,May,1,Mix,Black,Healthy/Normal,0
Other,1,Positive,190,Puppy/Kitten,8,August,1,Mix,White,Healthy/Normal,0
Dog,1,Neutral,753,Young Adult,23,December,1,Mix,Black,Healthy/Normal,0
Dog,0,Positive,582,Young Adult,5,April,1,Mix,Black,Healthy/Normal,0
Cat,1,Positive,85,Puppy/Kitten,39,June,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,105,Puppy/Kitten,13,August,1,Mix,White,Healthy/Normal,0
Cat,0,Neutral,73,Puppy/Kitten,11,June,0,Pure,Red,Healthy/Normal,0
Dog,0,Neutral,248,Puppy/Kitten,5,August,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,111,Puppy/Kitten,64,August,1,Mix,Red,Healthy/Normal,0
Dog,0,Negative,5846,Senior,2,April,0,Mix,Brown,Healthy/Normal,0
Dog,1,Positive,319,Puppy/Kitten,1,May,1,Mix,Black,Healthy/Normal,0
Cat,0,Neutral,369,Young Adult,3,November,0,Pure,White,Healthy/Normal,0
Dog,1,Positive,875,Young Adult,2,July,1,Pure,Black,Healthy/Normal,0
Dog,1,Negative,2198,Adult,6,February,0,Mix,White,Healthy/Normal,0
Dog,0,Neutral,247,Puppy/Kitten,4,August,1,Mix,Gold,Healthy/Normal,0
Cat,1,Neutral,59,Puppy/Kitten,28,September,0,Mix,Brown,Healthy/Normal,0
Dog,1,Positive,859,Young Adult,128,April,1,Mix,Black,Healthy/Normal,0
Cat,1,Positive,4407,Senior,23,April,1,Mix,White,Healthy/Normal,0
Dog,1,Negative,3062,Senior,5,January,1,Mix,Brown,Healthy/Normal,0
Cat,1,Neutral,103,Puppy/Kitten,12,August,0,Pure,White,Healthy/Normal,0
Cat,1,Positive,365,Puppy/Kitten,1,March,1,Mix,Brown,Injured,0
Dog,1,Positive,442,Young Adult,5,June,1,Pure,White,Healthy/Normal,0
Cat,1,Neutral,1464,Adult,2,March,1,Mix,Other,Healthy/Normal,0
Dog,1,Positive,1142,Adult,46,January,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,1099,Adult,3,June,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,1119,Adult,24,October,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,916,Young Adult,92,September,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,338,Puppy/Kitten,32,May,1,Pure,White,Healthy/Normal,0
Cat,0,Neutral,733,Young Adult,2,February,0,Pure,Black,Healthy/Normal,0
Cat,1,Positive,65,Puppy/Kitten,4,October,0,Mix,Brown,Healthy/Normal,0
Cat,0,Neutral,735,Young Adult,4,October,0,Pure,Other,Healthy/Normal,0
Cat,1,Negative,4803,Senior,54,February,1,Mix,Brown,Life Stage/Developmental,0
Cat,0,Neutral,64,Puppy/Kitten,2,January,1,Pure,Grey,Healthy/Normal,0
Cat,0,Positive,52,Puppy/Kitten,31,July,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,314,Puppy/Kitten,9,July,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,79,Puppy/Kitten,55,March,1,Pure,Gold,Healthy/Normal,0
Other,1,Neutral,407,Young Adult,4,April,0,Mix,Gold,Healthy/Normal,0
Dog,0,Positive,369,Young Adult,4,June,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,157,Puppy/Kitten,4,September,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,90,Puppy/Kitten,60,July,1,Pure,White,Sick/Medical,0
Dog,0,Negative,735,Young Adult,3,April,0,Mix,White,Injured,0
Dog,1,Positive,78,Puppy/Kitten,5,October,1,Pure,Black,Healthy/Normal,0
Cat,0,Positive,63,Puppy/Kitten,5,July,1,Mix,Other,Healthy/Normal,0
Cat,1,Positive,249,Puppy/Kitten,6,July,1,Pure,Brown,Healthy/Normal,0
Cat,1,Positive,149,Puppy/Kitten,1,January,1,Pure,White,Healthy/Normal,0
Cat,1,Positive,70,Puppy/Kitten,48,January,1,Mix,Other,Healthy/Normal,0
Cat,1,Neutral,917,Young Adult,4,May,1,Mix,Other,Healthy/Normal,0
Cat,1,Positive,83,Puppy/Kitten,54,November,1,Pure,White,Healthy/Normal,0
Cat,0,Neutral,734,Young Adult,4,July,0,Pure,Grey,Healthy/Normal,0
Dog,1,Negative,1856,Adult,7,June,1,Mix,White,Healthy/Normal,0
Cat,1,Negative,752,Young Adult,22,October,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,2451,Adult,68,February,1,Mix,White,Healthy/Normal,0
Dog,1,Neutral,739,Young Adult,9,January,1,Mix,Gold,Healthy/Normal,0
Cat,1,Positive,753,Young Adult,23,June,1,Pure,Grey,Healthy/Normal,0
Cat,1,Positive,401,Puppy/Kitten,74,January,1,Pure,White,Healthy/Normal,0
Cat,0,Positive,125,Puppy/Kitten,2,September,1,Mix,White,Healthy/Normal,0
Dog,1,Neutral,77,Puppy/Kitten,1,October,0,Pure,White,Healthy/Normal,0
Cat,1,Positive,74,Puppy/Kitten,29,June,1,Mix,Grey,Healthy/Normal,0
Dog,1,Neutral,46,Puppy/Kitten,3,September,0,Mix,White,Healthy/Normal,0
Dog,1,Neutral,413,Young Adult,47,January,1,Pure,Black,Healthy/Normal,0
Dog,1,Neutral,3655,Senior,2,October,1,Mix,Brown,Healthy/Normal,0
Dog,1,Neutral,738,Young Adult,8,September,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,1278,Adult,6,April,1,Pure,Black,Healthy/Normal,0
Cat,0,Positive,96,Puppy/Kitten,4,February,1,Mix,Grey,Healthy/Normal,0
Dog,1,Positive,746,Young Adult,15,February,1,Mix,White,Healthy/Normal,0
Dog,1,Neutral,135,Puppy/Kitten,12,November,0,Mix,Black,Healthy/Normal,0
Cat,0,Neutral,26,Puppy/Kitten,1,October,0,Mix,White,Healthy/Normal,0
